t,ia,ib,ic,vsq,vsd,speed,angle,output
4.29,170.3404126,-136.4097481,-33.93066445,-82.81463252,19.77710682,-14702.65826,-7993.931163,1
4.3,-44.78742694,72.71150306,-27.92407612,68.3781859,123.7918563,-14826.55822,-8141.572997,1
4.31,-67.15560152,114.536793,-47.38119149,-225.8477581,-13.02329997,-14948.0369,-8290.452447,1
4.32,138.222164,-228.1409151,89.91875114,-185.7052228,-152.3421011,-15068.38323,-8440.566335,1
4.33,-213.9426434,241.1700721,-27.22742874,-174.7165085,-4.477645626,-15191.12572,-8591.911874,1
4.34,112.5259264,-128.3464867,15.82056035,-16.31232978,83.56617265,-15322.43616,-8744.485908,1
4.35,-110.3466984,95.45596875,14.89072967,118.4059147,-77.33071431,-15439.34426,-8898.285654,1
4.36,-33.27545309,35.5564348,-2.280981713,123.3443797,189.6390787,-15564.67636,-9053.308196,1
4.37,111.5317995,-141.3742097,29.84241012,128.8002837,202.7437606,-15688.50324,-9209.55059,1
4.38,-119.5388377,188.859545,-69.3207073,165.0679241,-57.43246535,-15809.94602,-9367.009748,1
4.39,199.5928256,-180.8969801,-18.69584546,-66.87152315,-52.70290983,-15924.51202,-9525.683051,1
4.4,-45.99366613,85.78606821,-39.79240208,110.6757061,88.03912808,-16048.42362,-9685.567244,1
4.41,-53.31471188,47.98707259,5.327639291,40.31368589,222.6019382,-16170.45246,-9846.659718,1
4.42,97.19145838,-139.1337399,41.94228155,211.859799,113.1811429,-16293.59662,-10008.95737,1
4.43,-162.4745015,252.7405195,-90.26601803,-42.89399093,-169.4284899,-16406.37767,-10172.45728,1
4.44,97.47406853,-130.3300845,32.856016,23.04331333,81.96586499,-16533.24678,-10337.15667,1
4.45,-44.25757849,13.01860011,31.23897839,-138.1571767,-30.20917972,-16650.33549,-10503.05256,1
4.46,-76.71242605,108.8979053,-32.18547928,-221.2643855,47.10507285,-16767.21042,-10670.14204,1
4.47,105.7613836,-138.4381434,32.67675975,162.3698495,177.0044562,-16890.77916,-10838.4223,1
4.48,-214.1498274,260.7159676,-46.56614027,-160.9395158,-68.14968738,-17000.63212,-11007.89036,1
4.49,144.4287714,-206.3523512,61.92357988,49.92738241,-68.9684986,-17121.82209,-11178.54327,1
4.5,-95.71748413,101.2540777,-5.536593616,136.6628926,-36.37655557,-17241.06197,-11350.37832,1
4.51,-28.13543373,108.3409559,-80.20552221,-117.9097441,-193.0650367,-17359.0452,-11523.39252,1
4.52,99.76981217,-143.0601302,43.29031799,202.3176858,129.4685273,-17481.23081,-11697.58308,1
4.53,-165.210949,176.1406836,-10.92973463,-28.3808216,172.454158,-17597.23579,-11872.94707,1
4.54,122.5225873,-126.7941206,4.271533265,-29.4633143,79.88310475,-17714.92024,-12049.48152,1
4.55,-24.67816758,73.28081105,-48.60264346,82.96885295,114.5258462,-17828.30776,-12227.18367,1
4.56,-52.00346591,116.5482029,-64.54473701,-197.9503285,-109.5101987,-17943.36838,-12406.05075,1
4.57,94.48197386,-204.9569666,110.4749928,-37.31331522,-237.280977,-18059.0671,-12586.07979,1
4.58,-180.2712828,264.1895051,-83.9182223,-128.6013,-118.3537633,-18171.72925,-12767.26809,1
4.59,130.0955975,-126.9728368,-3.122760641,-48.97786367,69.64600623,-18294.74352,-12949.6127,1
4.6,-102.1079603,88.74532565,13.36263464,103.8727169,-95.97113469,-18406.05399,-13133.11072,1
4.61,-3.964674577,33.45977419,-29.49509961,225.9502897,-11.10327573,-18523.59047,-13317.75942,1
4.62,78.81739581,-179.9509876,101.1335918,86.4752591,-224.0905511,-18637.17219,-13503.55591,1
4.63,-187.9133082,192.4388467,-4.525538584,-115.18918,131.4433736,-18751.25798,-13690.49754,1
4.64,172.6742785,-214.4590317,41.78475317,-1.492870264,-85.13030396,-18861.58406,-13878.58112,1
4.65,-94.35041459,96.60314142,-2.25272683,126.2470571,-63.73131542,-18977.88092,-14067.80413,1
4.66,-31.69530606,110.9009106,-79.20560452,-106.3057056,-199.6895419,-19091.62224,-14258.16369,1
4.67,99.65859723,-145.6643248,46.00572753,179.8586383,159.2024364,-19209.04451,-14449.65707,1
4.68,-166.2010234,177.9068826,-11.70585918,-42.32768154,169.5708555,-19320.71867,-14642.28137,1
4.69,109.9361472,-126.7958707,16.8597235,-16.20073382,83.58787913,-19434.44139,-14836.03373,1
4.7,-41.71918746,88.19593206,-46.4767446,131.8898747,51.03979783,-19543.21123,-15030.91146,1
4.71,-84.29631352,94.16155537,-9.865241853,-179.9345585,137.1144442,-19655.33269,-15226.91184,1
4.72,166.4280421,-197.6080344,31.17999227,-211.7059548,113.4686487,-19765.89217,-15424.03205,1
4.73,-140.3606565,174.5909355,-34.23027897,85.58642476,152.3839609,-19882.83786,-15622.26919,1
4.74,160.6116242,-208.955002,48.3433778,-13.56415664,-84.055999,-19987.35172,-15821.62057,1
4.75,-55.9096975,95.98019817,-40.07050066,131.9957304,50.76541304,-20101.0026,-16022.08342,1
4.76,0.07679458,41.2772989,-41.35409348,211.7749226,-79.54997366,-20213.54317,-16223.65506,1
4.77,164.5717811,-225.5693613,60.99758024,-240.0183583,-9.259223057,-20319.5764,-16426.33274,1
4.78,-128.0950521,230.9913759,-102.8963239,35.10664422,-171.2116561,-20431.93255,-16630.11353,1
4.79,128.6514379,-203.8985007,75.24706279,53.71832326,-66.05860322,-20540.8975,-16834.99488,1
4.8,-77.21807667,37.34063792,39.87743875,-40.04313875,-135.6338713,-20652.56959,-17040.97398,1
4.81,-25.99765477,35.29296973,-9.295314959,189.7373955,123.193088,-20763.33096,-17248.04807,1
4.82,104.9651724,-140.6668104,35.70163795,142.1450889,193.6215878,-20873.78563,-17456.21448,1
4.83,-113.719264,194.3857385,-80.66647449,148.0491056,-92.88363674,-20981.81858,-17665.47037,1
4.84,149.1211543,-136.1505251,-12.9706292,-82.99945259,18.98652636,-21089.12822,-17875.81324,1
4.85,-86.44494678,56.26238306,30.18256372,24.79022047,-139.2316235,-21196.29119,-18087.24016,1
4.86,-52.1879166,129.407186,-77.21926941,-160.0010828,-159.9264508,-21303.44532,-18299.74853,1
4.87,98.05979032,-148.344047,50.28425664,160.5339569,178.6711902,-21415.33345,-18513.33573,1
4.88,-160.4653068,186.7620079,-26.29670116,-91.36937892,148.988403,-21520.98504,-18727.999,1
4.89,85.73529328,-118.4987304,32.76343716,-38.49847142,75.94251123,-21629.56052,-18943.73556,1
4.9,-48.01960158,93.5413971,-45.52179552,130.2230153,55.15402331,-21733.47526,-19160.54285,1
4.91,-89.62331053,89.90377085,-0.280460317,-105.7666485,199.9755791,-21840.63146,-19378.41824,1
4.92,123.2778782,-147.3932097,24.11533154,8.853587266,240.0336633,-21948.8119,-19597.35897,1
4.93,-111.6205212,211.2780291,-99.65750792,100.7290939,-142.8270187,-22053.75827,-19817.36228,1
4.94,74.54845583,-121.6038672,47.05541139,12.76784446,84.18063591,-22161.63935,-20038.42567,1
4.95,21.69752551,12.74735992,-34.44488543,-81.51559439,115.5647346,-22265.23842,-20260.5464,1
4.96,-10.45824657,41.12494227,-30.6666957,225.2932419,-20.48832209,-22371.36092,-20483.72186,1
4.97,123.2521656,-159.1057865,35.85362095,-27.09162704,238.6641768,-22476.66657,-20707.94945,1
4.98,-130.371125,175.1106921,-44.73956707,23.05674198,173.2463399,-22582.65797,-20933.22643,1
4.99,90.87852117,-175.3907043,84.51218313,81.91931271,-23.20826402,-22684.28643,-21159.55016,1
5,-4.081307359,12.8577181,-8.776410738,-123.1934918,69.4504397,-22789.72676,-21386.91815,1
5.01,-88.80980693,99.26144296,-10.45163604,-172.692366,146.1306364,-22892.29999,-21615.32772,1
5.02,73.47515704,-146.6888091,73.21365208,240.0468657,-8.488096892,-22999.09351,-21844.7762,1
5.03,-147.2584246,177.0601412,-29.80171659,-22.75063554,173.2868034,-23102.18775,-22075.26107,1
5.04,81.75760621,-118.3792771,36.62167088,-28.84232776,80.10940921,-23205.68842,-22306.7796,1
5.05,-18.4906648,75.5564013,-57.0657365,129.429059,56.99226863,-23305.89824,-22539.32929,1
5.06,-83.65779967,82.01121606,1.646583609,-104.5486341,200.6150525,-23409.00913,-22772.90759,1
5.07,114.3818075,-146.2127017,31.83089417,52.59604524,234.3676632,-23513.4888,-23007.51182,1
5.08,-122.2945392,236.5673126,-114.2727734,16.64887278,-173.9790869,-23612.20564,-23243.13936,1
5.09,75.43538489,-144.032401,68.59701615,78.0993874,33.90992482,-23717.05934,-23479.78776,1
5.1,-32.21810953,85.65070754,-53.432598,122.2803148,71.04593307,-23816.93191,-23717.45442,1
5.11,-65.94811129,144.0246899,-78.07657857,-188.2559783,-125.4452183,-23917.40231,-23956.13676,1
5.12,82.73745932,-207.7096755,124.9722161,-40.38256737,-236.7779419,-24018.44802,-24195.8322,1
5.13,-192.0437274,238.4472027,-46.40347529,-174.626958,-7.164717543,-24118.29418,-24436.53827,1
5.14,46.42084667,-143.0438024,96.62295577,83.49391616,16.67822768,-24222.07332,-24678.25224,1
